ticket,title,priority_estimate,status,implementation_owner,reviewer,milestone,evidence
FND-01,"Inventory, scope traceability and baseline","P0, M",in_progress,Codex (current local slice),unassigned,0,product-maturity-progress.md
FND-02,Durable business audit history,"P1, M",completed,Codex (current local slice),unassigned,1,product-maturity-progress.md
FND-03,Reliable domain events and notifications,"P1, L",completed,Codex (current local slice),unassigned,1-2,product-maturity-progress.md
FND-04,Contract and migration discipline,"P0, M",not_started,unassigned,unassigned,0,
MKT-01,"Resumable, idempotent checkout","P0, L",completed,Codex (current local slice),unassigned,1,product-maturity-progress.md
MKT-02,"Partial refunds, returns and inventory disposition","P0, XL",completed,Codex (current local slice),unassigned,1-2,product-maturity-progress.md
MKT-03,Listing evidence and trustworthy seller profiles,"P1, L",not_started,unassigned,unassigned,2,
MKT-04,Claims linked to orders and support,"P1, L",completed,Codex (current local slice),unassigned,2,product-maturity-progress.md
MKT-05,Complete multi-seller fulfillment UX,"P1, M",completed,Codex (current local slice),unassigned,2,product-maturity-progress.md
MKT-06,Seller settlement and payouts,"P1, XL",not_started,unassigned,unassigned,5,
TRN-01,"Result proposal, confirmation and dispute","P1, L",not_started,unassigned,unassigned,4,
TRN-02,Immutable tournament deck submissions,"P1, L",not_started,unassigned,unassigned,4,
TRN-03,Action-oriented player dashboard,"P1, M",not_started,unassigned,unassigned,4,
TRN-04,Explainable standings,"P1, M",not_started,unassigned,unassigned,4,
TRN-05,Incident management and safe corrections,"P1, L",not_started,unassigned,unassigned,4,
COL-01,Mixed inventory and permissions,"P0, M",in_progress,Codex (current local slice),unassigned,1,product-maturity-progress.md
COL-02,"Physical copies, variants and acquisition records","P1, XL",not_started,unassigned,unassigned,3,
COL-03,"Correct, configurable completion","P1, M",not_started,unassigned,unassigned,3,
COL-04,Bulk management and CSV portability,"P1, L",not_started,unassigned,unassigned,3,
COL-05,Missing-card and duplicate actions,"P1, M",not_started,unassigned,unassigned,3,
COL-06,Transparent collection valuation,"P2, L",not_started,unassigned,unassigned,3,
INT-01,Deck requirements versus owned inventory,"P1, L",not_started,unassigned,unassigned,3,
INT-02,Inventory-backed listings,"P1, L",not_started,unassigned,unassigned,3,
INT-03,Delivery-to-collection receipt,"P1, M",not_started,unassigned,unassigned,5,
INT-04,Integrated journey and navigation,"P1, M",not_started,unassigned,unassigned,5,
UX-01,"Consistent UI states, localization and accessibility","P1/P2, L",not_started,unassigned,unassigned,1-6,
OPS-01,Operational visibility and recovery,"P1, L",not_started,unassigned,unassigned,2-6,
QLT-01,Progressive automated quality gates,"P0/P1, L",in_progress,Codex (current local slice),unassigned,0-6,product-maturity-progress.md
QLT-02,Repository-wide legacy remediation,"P1, continuous; estimate per wave",not_started,unassigned,unassigned,0-6,
DOC-01,"Authoritative, maintained documentation","P1, continuous; M setup",in_progress,Codex (current local slice),unassigned,0-6,product-maturity-progress.md
